id,bulletin,description,grupo_muestreo,is_relevant_gt,categories_gt,subcategories_gt,notas_anotador,is_relevant_pred,act_type_pred,categories_pred,subcategories_pred,confidence,reasoning,duration_s,error
2,boja,"Acuerdo de 25 de febrero de 2025, de la Delegación Territorial de Fomento, Articulación del Territorio y Vivienda en Málaga, por el que se inicia procedimiento de declaración de pérdida del derecho al cobro de determinadas ayudas concedidas al amparo de la Orden 27 de julio de 2020, destinadas a atender el pago del alquiler de la vivienda habitual, correspondiente a la Línea 1 de la convocatoria aprobada por Orden de 1 de septiembre de 2020 (BOJA núm. 174, de 8 de septiembre).",SUB_REV,True,SUB_REV,sector_vivienda,Inicio perdida derecho al cobro ayudas alquiler,True,acuerdo,"[""SUB_REV""]","[""sector_vivienda""]",0.95,"El acto se refiere al ""inicia procedimiento de declaración de pérdida del derecho al cobro de determinadas ayudas concedidas"".",115.403,
3,boja,"Anuncio de 14 de enero de 2025, de la Dirección General de Andalucía Global, de notificación de reintegro de subvención.",SUB_REV,True,SUB_REV,,Notificacion reintegro subvencion sin sector,True,notificación,"[""SUB_REV""]",[],0.98,"La descripción menciona explícitamente ""notificación de reintegro de subvención"", lo que dispara la etiqueta SUB_REV según las señales definidas.",45.495,
4,dog,"ACUERDO de 13 de enero de 2025, del Departamento Territorial de Ourense, por el que se da publicidad al inicio de tres expedientes de reintegro de ayudas al estudio.",SUB_REV,True,SUB_REV,sector_educacion,Inicio expedientes reintegro ayudas estudio,True,acuerdo,"[""SUB_REV""]","[""sector_educacion""]",0.98,"La etiqueta SUB_REV se dispara por la mención explícita de ""inicio de tres expedientes de reintegro de ayudas"".",42.588,
5,docm,"Notificación de 06/02/2025, de la Delegación Provincial de Educación, Cultura y Deportes de Toledo, de acuerdos de inicio de expedientes de reintegro de ayuda al estudio.",SUB_REV,True,SUB_REV,sector_educacion,Inicio reintegro ayuda al estudio,True,notificación,"[""SUB_REV""]","[""sector_educacion""]",0.98,"La descripción menciona explícitamente ""acuerdos de inicio de expedientes de reintegro de ayuda al estudio"", lo cual corresponde a la fase de reintegro (SUB_REV).",47.723,
6,bocm,"Concesión subvenciones
– Orden de 27 de diciembre de 2024, de la Consejería de Vivienda, Transportes e Infraestructuras, por la que se declara la pérdida del derecho al cobro de determinadas cuantías a los beneficiarios de las subvenciones al alquiler de vivienda en la Comunidad de Madrid convocadas para el año 2022 mediante Orden 3608/2022, de 19 de octubre de 2022",SUB_REV,True,SUB_REV,sector_vivienda,Perdida derecho al cobro subvenciones alquiler,True,orden,"[""SUB_REV""]","[""sector_vivienda""]",0.98,"El acto trata sobre subvenciones al alquiler de vivienda y menciona la ""pérdida del derecho al cobro"", lo que corresponde a reintegro o revocación (SUB_REV).",66.245,
7,docm,"Notificación de 14/02/2025, de la Delegación Provincial de Educación, Cultura y Deportes de Cuenca, de acuerdo de inicio de expedientes de reintegro de ayudas al estudio.",SUB_REV,True,SUB_REV,sector_educacion,Inicio reintegro ayudas estudio,True,notificación,"[""SUB_REV""]","[""sector_educacion""]",0.95,"La descripción menciona explícitamente el ""inicio de expedientes de reintegro de ayudas al estudio"", lo cual corresponde a la fase de reintegro (SUB_REV).",46.237,
8,bon,Reintegro de subvenciones,SUB_REV,True,SUB_REV,,Reintegro de subvenciones generico BON,True,anuncio,"[""SUB_REV""]",[],0.98,"La descripción menciona explícitamente ""Reintegro de subvenciones"", lo cual corresponde a la fase de reintegro (SUB_REV).",92.656,
9,boja,"Anuncio de 22 de enero de 2025, de la Delegación Territorial de Fomento, Articulación del Territorio y Vivienda en Málaga, por el que se hace pública la relación de solicitantes de ayudas al alquiler cuyas bases son reguladas por la Orden de 1 de septiembre de 2020 (BOJA núm. 174, de 8 de septiembre de 2020), a los que no ha sido posible notificar diferentes actos relativos a procedimientos de reintegro de subvenciones.",SUB_REV,True,SUB_REV,sector_vivienda,Notificacion actos de reintegro ayudas alquiler,True,anuncio,"[""SUB_CON"", ""SUB_REV""]","[""sector_vivienda""]",0.95,"El acto hace pública la relación de solicitantes (lo que implica una fase de concesión o gestión) y menciona explícitamente ""procedimientos de reintegro de subvenciones"".",166.259,
10,dog,"RESOLUCIÓN de 9 de diciembre de 2024 por la que se da publicidad del acuerdo del Consejo de Dirección que aprueba las bases reguladoras de las ayudas a las agrupaciones empresariales (clústeres) innovadoras en la Comunidad Autónoma de Galicia para el año 2025, y se procede a su convocatoria en régimen de concurrencia competitiva (código de procedimiento IG410A).",MULTILABEL_BC,True,"SUB_BASE, SUB_CONV","sector_industria, sector_investigacion",Acto completo: aprueba bases y convoca. Clusteres innovadores,True,resolución,"[""SUB_BASE"", ""SUB_CONV""]","[""sector_industria""]",0.98,"El acto ""aprueba las bases reguladoras"" (dispara SUB_BASE) y además ""se procede a su convocatoria"" (dispara SUB_CONV). El sector destinatario son ""agrupaciones empresariales (clústeres) innovadoras"", lo que se clasifica como sector industrial/empresarial.",157.853,
11,dog,"ORDEN de 30 de diciembre de 2024 por la que se establecen las bases reguladoras para la concesión de subvenciones para la prevención de los daños causados a los bosques por incendios, desastres naturales y catástrofes en montes vecinales en mano común y agrupaciones forestales de gestión conjunta, cofinanciadas con el Fondo Europeo Agrícola de Desarrollo Rural (Feader) en el marco del Plan estratégico de la política agraria común (PEPAC) 2023-2027 y se convocan para el año 2025 (código de procedimiento MR651A).",MULTILABEL_BC,True,"SUB_BASE, SUB_CONV",sector_agricultura,Acto completo: bases y convocatoria. Prevencion incendios forestales,True,orden,"[""SUB_BASE"", ""SUB_CONV""]","[""sector_agricultura""]",0.98,"La descripción menciona ""se establecen las bases reguladoras"" (disparador de SUB_BASE) y ""se convocan para el año 2025"" (disparador de SUB_CONV). El ámbito forestal se clasifica en sector_agricultura.",95.901,
12,boja,"Extracto de 4 de febrero de 2025, de la Universidad de Huelva, por la que se aprueban las bases reguladoras y la convocatoria de Premios la Frente Pensativa y Zenobia Camprubí a Trabajos de Fin de Grado y Fin de Máster de la Cátedra Juan Ramón Jiménez, convocatoria 2024.",MULTILABEL_BC,True,SUB_CONV,sector_educacion,Extracto BDNS aunque apruebe bases. Premios TFG/TFM,True,extracto,"[""SUB_CONV""]","[""sector_educacion""]",1.0,"Se trata un ""Extracto"" y el texto menciona la ""convocatoria de Premios"", lo que dispara SUB_CONV según la REGLA EXTRACTO.",66.921,
13,dog,"EXTRACTO de la Orden de 3 de enero de 2025 por la que se establecen las bases reguladoras de los programas de subvenciones para sufragar los gastos de funcionamiento de las entidades asociativas gallegas de personas trabajadoras autónomas y la contratación de personal de apoyo, y se convocan para el año 2025 (código de procedimiento TR358A).",MULTILABEL_BC,True,SUB_CONV,"sector_industria, sector_empleo",Extracto BDNS. Entidades de autonomos y contratacion personal apoyo,True,extracto,"[""SUB_CONV""]","[""sector_industria""]",1.0,"La descripción comienza con ""EXTRACTO de la Orden..."", lo que dispara la regla crítica 1, estableciendo SUB_CONV. El objeto es subvencionar gastos de funcionamiento y contratación para autónomos, por lo que es relevante y afecta al sector industria/autónomos.",85.599,
14,dog,"EXTRACTO de la Resolución de 13 de enero de 2025 por la que se da publicidad del acuerdo del Consejo de Dirección que aprueba las bases reguladoras de las ayudas a proyectos que impulsen y refuercen la transición a la cadena de valor del vehículo eléctrico y a la descarbonización del sector de automoción en Galicia, cofinanciadas por la Unión Europea en el marco del programa Galicia Feder 2021-2027 para el año 2025, y se procede a su convocatoria en régimen de concurrencia no competitiva (código de procedimiento IN422P (línea 3).",MULTILABEL_BC,True,SUB_CONV,sector_industria,Extracto BDNS. Vehiculo electrico automocion,True,extracto,"[""SUB_CONV""]","[""sector_renovable""]",0.98,"El texto es un ""EXTRACTO"" y menciona que se procede a su convocatoria (""se procede a su convocatoria"").",74.307,
15,boja,"Extracto de la Orden de 10 de enero de 2025, por la que se convocan para el año 2025 las ayudas previstas en la Orden de 13 de marzo de 2024, por la que se aprueban las bases reguladoras para la concesión de ayudas a la ejecución de programas nacionales veterinarios por las Asociaciones de Defensa Sanitaria Ganadera, en régimen de concurrencia no competitiva.",MULTILABEL_BC,True,SUB_CONV,sector_agricultura,Extracto. Convoca ayudas con bases previas. Veterinaria ADS,True,extracto,"[""SUB_CONV""]","[""sector_agricultura""]",0.98,"La descripción comienza con ""Extracto de la Orden..."", lo que dispara la regla crítica 1 (REGLA EXTRACTO), estableciendo SUB_CONV como única fase aplicable. El objeto es la convocatoria de ayudas para programas veterinarios en el sector ganadero.",90.712,
16,boja,"Extracto de 9 de enero de 2025, de la Universidad de Huelva, por la que se aprueban las bases reguladoras y la convocatoria del IV Concurso de Fotografía Miradas Erasmus de la Universidad de Huelva.",MULTILABEL_BC,True,SUB_CONV,sector_cultura,Extracto BDNS. Concurso fotografia con premio,True,extracto,"[""SUB_CONV""]","[""sector_cultura""]",0.95,"La descripción comienza con ""Extracto de..."", lo que dispara la regla crítica 1 (REGLA EXTRACTO), forzando SUB_CONV. El objeto es un concurso de fotografía, por lo que se etiqueta sector_cultura.",77.192,
17,dog,"EXTRACTO de la Orden de 27 de diciembre de 2024 por la que se establecen las bases reguladoras para la concesión de subvenciones públicas, destinadas a la financiación del Programa Investigo, de contratación de personas jóvenes demandantes de empleo en la realización de iniciativas de investigación e innovación, y se procede a su convocatoria para el ejercicio 2025 (código de procedimiento TR349V).",MULTILABEL_BC,True,SUB_CONV,"sector_empleo, sector_investigacion",Extracto BDNS. Programa Investigo,True,extracto,"[""SUB_CONV""]","[""sector_investigacion""]",1.0,"La descripción comienza con ""EXTRACTO de la Orden..."", lo que dispara la regla crítica 1 (REGLA EXTRACTO), forzando SUB_CONV. Además, menciona la ""convocatoria para el ejercicio 2025"".",86.331,
18,bon,"RESOLUCIÓN 94E/2025, de 12 de febrero, de la directora general de Transportes y Movilidad Sostenible, por la que se aprueban, la convocatoria para el año 2025 y las bases reguladoras de la subvención destinada a la financiación del curso para la obtención del certificado de aptitud profesional acreditativo de la cualificación inicial de los conductores, residentes en Navarra, de determinados vehículos destinados al transporte por carretera. Identificación BDNS: 814522.",MULTILABEL_BC,True,"SUB_BASE, SUB_CONV",sector_empleo,Acto completo: aprueba convocatoria y bases. Formacion CAP conductores,True,resolución,"[""SUB_CONV"", ""SUB_BASE""]","[""sector_empleo""]",0.98,"El acto ""se aprueban... la convocatoria para el año 2025 y las bases reguladoras de la subvención"" indica tanto la apertura de la ayuda como la aprobación de sus normas.",105.486,
19,dogv,"EXTRACTO de la Resolución de 28 de febrero de 2025, del Vicerrectorado de Innovación y Transferencia, por la que se convocan y aprueban las bases reguladoras de los premios ToxiCOIL dirigidos a estudiantes de grado, máster y doctorado de la Universitat de València, de la Université de Bourgogne Europe-Institut Agro-Dijon (Francia) y la Università degli Studi di Palermo (Italia), del curso 2024-2025, con el mecenazgo de Santander Universidades y en el marco del programa internacional UVEMPREN.",MULTILABEL_BC,True,SUB_CONV,sector_educacion,Extracto BDNS. Premios estudiantes universitarios,True,extracto,"[""SUB_CONV""]","[""sector_educacion"", ""sector_investigacion""]",1.0,"El texto es un ""EXTRACTO"" y menciona que ""se convocan y aprueban las bases reguladoras"", lo cual dispara la etiqueta SUB_CONV por la regla crítica 1 (REGLA EXTRACTO).",103.037,
20,dog,"EXTRACTO de la Resolución de 27 de decembro de 2024 por la que se establecen las bases reguladoras, en régimen de concurrencia competitiva, para la concesión de subvenciones a la creación audiovisual para la promoción del talento audiovisual gallego y se convocan para el año 2025 (código de procedimiento CT207E).",MULTILABEL_BC,True,SUB_CONV,sector_cultura,Extracto BDNS. Creacion audiovisual,True,extracto,"[""SUB_CONV""]","[""sector_cultura""]",1.0,"La descripción es un ""EXTRACTO"" y menciona que ""se convocan para el año 2025"", lo cual dispara la fase de convocatoria (SUB_CONV).",88.903,
21,docm,"Resolución de 20/01/2025, del Instituto de Promoción Exterior de Castilla-La Mancha, por la que se aprueba la convocatoria de concesión de subvenciones para la participación en la Feria Micam I Shoe Event Milán 2025, al amparo de la Orden 152/2022, de 29 de julio, de la Consejería de Economía, Empresas y Empleo, por la que se establecen las bases reguladoras de las ayudas para la participación agrupada en acciones de internacionalización convocadas por el Instituto de Promoción Exterior de Castilla-La Mancha. Extracto BDNS (Identif.): 810396.",MULTILABEL_BC,True,SUB_CONV,sector_industria,Convocatoria de concesion: el acto convoca. Bases en orden previa. Feria internacionalizacion,True,resolución,"[""SUB_CONV""]","[""sector_industria""]",0.98,"La descripción menciona explícitamente ""se aprueba la convocatoria de concesión de subvenciones"" y es un ""Extracto BDNS"", lo que dispara SUB_CONV según las reglas críticas.",216.697,
22,dog,"EXTRACTO de la Orden de 20 de diciembre de 2024 por la que se establecen las bases reguladoras de las ayudas, en régimen de concurrencia competitiva, para actuaciones encaminadas a la protección de los animales domésticos de compañía abandonados en Galicia y se convocan ayudas para el año 2025, destinadas a las asociaciones inscritas en el Registro Gallego de Asociaciones para la Protección y Defensa de los Animales de Compañía (código de procedimiento MT811B).",MULTILABEL_BC,True,SUB_CONV,,Extracto BDNS. Proteccion animales sin sector en taxonomia,True,extracto,"[""SUB_CONV""]","[""sector_social""]",0.95,"La descripción comienza con ""EXTRACTO de la Orden..."" y menciona que ""se convocan ayudas para el año 2025"", lo cual dispara SUB_CONV por la regla crítica 1.",225.92,
