id,bulletin,description,grupo_muestreo,is_relevant_gt,categories_gt,subcategories_gt,notas_anotador,is_relevant_pred,act_type_pred,categories_pred,subcategories_pred,confidence,reasoning,duration_s,error
0,boe,Anuncio de formalización de contratos de: Jefatura de la Sección Económico Administrativa 22 - Base Aérea de Torrejón (Agrupación de Base). Objeto: Concesión de servicios Cafetería ALA 12. Expediente: 2024/EA22/00001943E.,CONT_CON,True,"CONT_FOR, CONT_CON",tipo_servicios,Formalizacion de concesion de servicios cafeteria,True,anuncio,"[""CONT_FOR"", ""CONT_CON""]","[""tipo_servicios""]",0.98,"El texto indica claramente ""Anuncio de formalización de contratos"" (señal de CONT_FOR) y el objeto es una ""Concesión de servicios Cafetería ALA 12"", lo que confirma la categoría CONT_CON. La prestación se refiere a servicios de cafetería, clasificándose como tipo_servicios.",80.824,
1,bocyl,"RESOLUCIÓN de 7 de enero de 2025, de la Dirección General de Transportes y Logística, por la que se hace pública la transmisión de la titularidad del contrato de concesión de servicio público de transporte regular y de uso general de viajeros por carretera, entre Castronuño y Toro (VACL-152), prestados por la empresa «Antonio Expósito Lucas» a favor de la empresa «Castaño e Hijos, S.L.».",CONT_CON,True,CONT_CON,tipo_servicios,Transmision de titularidad de contrato de concesion de transporte,True,resolución,"[""CONT_CON"", ""CONT_ADJ""]","[""tipo_servicios""]",0.95,"El texto describe la ""transmisión de la titularidad del contrato de concesión de servicio público de transporte"", lo que indica claramente un acto de contratación pública (CONT_CON). La frase ""se hace pública la transmisión... entre"" junto con el cambio de empresa adjudicataria (""Antonio Expósito Lucas"" a ""Castaño e Hijos, S.L."") es una clara señal de adjudicación del contrato (CONT_ADJ). El objeto es transporte de viajeros por carretera, lo que define la subcategoría tipo_servicios.",73.054,
2,bor,Exposición pública del estudio de viabilidad económico-financiera para la concesión de servicio de gestión de las piscinas municipales,CONT_CON,True,CONT_CON,tipo_servicios,Estudio de viabilidad previo a concesion de servicio piscinas,True,información_pública,"[""CONT_CON""]",[],0.95,"El texto describe una ""Exposición pública del estudio de viabilidad... para la concesión de servicio"", lo que identifica claramente el objeto como una concesión de servicio público (piscinas municipales). La categoría CONT_CON es aplicable según las señales ""concesión de servicio"" y ""estudio de viabilidad"". No se menciona la palabra ""obras"" ni ""suministros"", por lo que no se asigna ninguna subcategoría específica, aunque el objeto implícito es un contrato de concesión de servicios.",69.419,
3,boe,Anuncio de licitación de: Jefatura de Asuntos Económicos de la Fuerza Terrestre. Objeto: Concesión de servicio del Bar-Cafetería para el Establecimiento Plaza España. Expediente: 2025/ETSAE0206/00000005E.,CONT_CON,True,"CONT_LIC, CONT_CON",tipo_servicios,Licitacion de concesion de servicio bar-cafeteria,True,anuncio,"[""CONT_LIC"", ""CONT_CON""]","[""tipo_servicios""]",0.98,"El texto anuncia una licitación de la Jefatura de Asuntos Económicos (""Anuncio de licitación de:""), y el objeto es explícitamente una ""Concesión de servicio"" del Bar-Cafetería. Cumple con las reglas críticas para CONT_CON (presencia de ""concesión"" en el objeto) y CONT_LIC (anuncia la licitación). El tipo de prestación es servicios (gestión de cafetería).",69.051,
4,borm,Información pública para la aprobación inicial del anteproyecto de construcción y explotación del contrato de concesión del servicio publico de abastecimiento de agua potable y saneamiento del municipio de Alcantarilla.,CONT_CON,True,CONT_CON,"tipo_obras, tipo_servicios",Anteproyecto de construccion y explotacion de concesion de agua,False,,,,,,129.68,UnexpectedModelBehavior
5,boe,Anuncio de formalización de contratos de: Dirección del Instituto de Astrofísica de Canarias. Objeto: Contrato de concesión del servicio de explotación de la cafetería-comedor de la Sede Central del Instituto de Astrofísica de Canarias. Expediente: LIC-24-018.,CONT_CON,True,"CONT_FOR, CONT_CON",tipo_servicios,Formalizacion de concesion de servicio cafeteria-comedor,True,anuncio,"[""CONT_FOR"", ""CONT_CON""]","[""tipo_servicios""]",0.98,"El texto comienza con ""Anuncio de formalización de contratos"", lo que indica claramente la categoría CONT_FOR. Además, el objeto especifica ""Contrato de concesión del servicio..."", cumpliendo los requisitos para la categoría CONT_CON según las reglas críticas (presencia de la palabra ""concesión"" en el objeto del contrato). El tipo de prestación es servicios (""explotación de la cafetería-comedor"").",66.128,
6,boe,"Anuncio de licitación de: Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M.P. Objeto: Concesión del servicio de cafetería-comedor destinado al Centro Nacional de Biotecnología de la Agencia Estatal Consejo Superior de Investigaciones Científicas. Expediente: CAF1/25.",CONT_CON,True,"CONT_LIC, CONT_CON",tipo_servicios,Licitacion de concesion de servicio cafeteria,True,anuncio,"[""CONT_LIC"", ""CONT_CON""]","[""tipo_servicios""]",0.98,"El texto indica claramente ""Anuncio de licitación"" (disparador CONT_LIC) y el objeto es una ""Concesión del servicio de cafetería-comedor"" (disparador CONT_CON). El fragmento clave es ""Concesión del servicio"", lo que confirma que no es una concesión demanial sino una prestación de servicios bajo la LCSP.",64.743,
7,borm,Información pública para la aprobación inicial de la estructura de costes del contrato de concesión del servicio público de abastecimiento de agua potable y saneamiento del municipio de Alcantarilla.,CONT_CON,True,CONT_CON,tipo_servicios,Estructura de costes de concesion de servicio de agua,True,información_pública,"[""CONT_CON""]",[],0.98,"El texto menciona explícitamente ""contrato de concesión del servicio público de abastecimiento de agua potable"", lo que activa la categoría CONT_CON según el objeto contractual (abastecimiento de agua, que es una concesión de servicios bajo LCSP y no demanial). El acto es de información pública sobre la estructura de costes preparatoria. No se infiere subcategoría porque solo se menciona ""contrato de concesión"" sin especificar si son obras o servicios, aunque el contexto de ""abastecimiento"" suele ser servicio, pero la regla exige certeza en el objeto para N3; aquí la descripción es ambigua sobre el tipo de prestación específico más allá del término concesión.",80.251,
8,docm,"Resolución de 25/02/2025, de la Secretaría General, por la que se dispone la publicación del convenio de colaboración entre la Consejería de Fomento de la comunidad autónoma de Castilla-La Mancha y el Ayuntamiento de Olías del Rey para la implantación del transporte público regular de viajeros en autobús según contrato de concesión del servicio público de transporte regular de viajeros de uso general por carretera en determinadas zonas rurales de la provincia de Toledo: VCM-631 Olías del Rey-Toledo.",CONT_CON,False,,,Convenio interadministrativo sobre servicio en concesion existente: no es acto contractual,True,resolución,"[""CONT_CON""]","[""tipo_servicios""]",0.98,"El texto es una Resolución que dispone la publicación de un convenio que formaliza ""contrato de concesión del servicio público de transporte regular de viajeros"", lo que activa la categoría CONT_CON por la palabra clave ""concesión"" en el objeto del contrato. La subcategoría es tipo_servicios al tratarse del servicio de transporte.",63.856,
9,bopa,Edicto. Trámite de audiencia a la iniciativa privada para presentar estudios de viabilidad a la concesión de obra de un nuevo aparcamiento bajo la Plaza de la Escandalera de Oviedo. Expte. 1100-0001-2024/14. [Cód. 2025-01895],CONT_CON,True,CONT_CON,tipo_obras,Tramite de audiencia estudios viabilidad concesion de obra aparcamiento,True,edicto,"[""CONT_CON""]","[""tipo_obras""]",0.95,"El texto menciona ""concesión de obra"" y ""estudio de viabilidad"", lo que indica un acto preparatorio de una concesión (CONT_CON) relativo a obras para construcción o reforma (tipo_obras). La palabra clave ""concesión de obra"" dispara la categoría CONT_CON y el objeto físico ""aparcamiento bajo..."" confirma tipo_obras.",64.634,
