id,bulletin,description,grupo_muestreo,is_relevant_gt,categories_gt,subcategories_gt,notas_anotador,is_relevant_pred,act_type_pred,categories_pred,subcategories_pred,confidence,reasoning,duration_s
0,boe,Anuncio de la Confederación Hidrográfica del Guadiana de sometimiento a información pública de resolución de otorgamiento de concesión de aguas subterráneas en el término municipal de Bolaños de Calatrava (Ciudad Real)- 3482/2020.,AGU_GEN,True,AGU_GEN,cuenca_guadiana,,True,anuncio,"[""AGU_GEN""]","[""cuenca_guadiana""]",0.95,"""Concesión de aguas subterráneas en Bolaños de Calatrava (Ciudad Real) → cuenca_guadiana. No hay uso específico (como riego, abastecimiento o industrial) ni captura explícita ('sondeo/pozo'), por lo que se asigna AGU_GEN como categoría residual para concesión de agua sin uso definido.""",85.04
1,boe,"Anuncio de formalización de contratos de: Presidencia de la Confederación Hidrográfica del Guadiana. Objeto: Suministro de material y fungibles, y mantenimiento de equipos multifunción e impresoras en las oficinas de la Confederación Hidrográfica del Guadiana de Ciudad Real y Badajoz. Expediente: 202400000179.",AGU_GEN,False,,,,False,anuncio,[],[],1.0,"El texto describe un contrato de suministro de material, fungibles y mantenimiento de equipos en las oficinas de la Confederación Hidrográfica del Guadiana. No hay ninguna mención a concesiones de agua, uso del DPH, gestión ambiental, montes, espacios naturales o residuos. Es un contrato administrativo estándar sin relación con el dominio hídrico-natural regulado por la taxonomía.",58.178
2,boe,"Anuncio de formalización de contratos de: Presidencia de la Confederación Hidrográfica del Guadalquivir. Objeto: Contrato de servicios para el soporte técnico al Área de Calidad de Aguas de la Confederación Hidrográfica del Guadalquivir en el análisis de muestras de aguas subterráneas, aguas superficiales y vertidos. Expediente: CU(CO)-7100.",AGU_GEN,False,,,,False,anuncio,[],[],0.98,"La publicación es un ""Contrato de servicios para el soporte técnico al Área de Calidad de Aguas"", lo cual clasifica como un contrato administrativo genérico sin concesión, autorización o gestión directa del agua por parte del titular. Las aguas subterráneas y superficiales se mencionan solo como objeto de análisis interno del área contratada (calidad de aguas), no como una actuación administrativa sobre el DPH.",59.303
3,boe,"Anuncio de la Confederación Hidrográfica del Júcar, O.A. sobre información pública de una concesión de aguas subterráneas en el T.M. de Chiva (Valencia).",AGU_GEN,True,AGU_GEN,cuenca_jucar,,True,anuncio,"[""AGU_GEN""]","[""cuenca_jucar""]",0.95,"La descripción menciona ""concesión de aguas subterráneas"" en el término municipal de Chiva (Valencia), que corresponde a la Confederación Hidrográfica del Júcar (cuenca_jucar). Al no especificar ningún uso concreto (como riego, abastecimiento o industrial) y sin palabras como ""captación"", ""sondeo"" o ""pozo"", se clasifica como AGU_GEN según las reglas críticas. No se activan otras categorías.",62.916
4,boe,"Anuncio de la Confederación Hidrográfica del Duero, O.A., de información pública del expediente de modificación de características de concesión de un aprovechamiento de aguas subterráneas, de referencia MC-0219/2024 (INTEGRA-AYE) AV, con destino a riego en el término municipal de Constanzana (Ávila).",AGU_GEN,True,AGU_RIE,"uso_agricola,cuenca_duero",,True,anuncio,"[""AGU_RIE""]","[""uso_agricola"", ""cuenca_duero""]",0.98,"El texto menciona explícitamente ""con destino a riego"", activando la categoría AGU_RIE, y se trata de aguas subterráneas sin mención de captación/sondeo/pozo, por lo que no aplica AGU_SND. La Confederación Hidrográfica del Duero indica cuenca_duero.",59.992
5,boe,"Anuncio de la Confederación Hidrográfica del Duero, O.A., de resolución del expediente de concesión de un aprovechamiento de aguas subterráneas, de referencia C-0196/2022, con destino a riego en el término municipal de Torrelara (Burgos).",AGU_GEN,True,AGU_RIE,"uso_agricola,cuenca_duero",,True,anuncio,"[""AGU_RIE""]","[""uso_agricola"", ""cuenca_duero""]",0.98,"""con destino a riego"" activa AGU_RIE. La fuente es Confederación Hidrográfica del Duero, por lo que aplica cuenca_duero. No hay mención de ""captación/sondeo/pozo"", por tanto no se asigna AGU_SND ni se combina con AGU_GEN.",59.504
6,boe,Anuncio de licitación de: Presidencia de la Confederación Hidrográfica del Ebro. Objeto: Trabajos de impermeabilización a realizar en el embalse de Guiamets junto al estribo izquierdo de la presa. T/Els Guiamets. Expediente: 020/25-S.,AGU_GEN,False,,,,UnexpectedModelBehavior,70.809
7,boe,Anuncio de acuerdo de información pública de la Comisaría de Aguas de la Confederación Hidrográfica del Duero O.A. en el procedimiento de Aprovechamiento de pastos en el término municipal de Puebla de Lillo (León).,AGU_GEN,True,AGU_GEN,cuenca_duero,,True,anuncio,"[""AGU_GEN""]","[""cuenca_duero""]",0.95,"""El texto menciona explícitamente el procedimiento de 'Aprovechamiento de pastos en DPH' gestionado por la Comisaría de Aguas, lo cual indica un uso del dominio público hidráulico sin concesión específica de agua ni vertidos → AGU_GEN. La Confederación Hidrográfica del Duero emite la resolución, identificando claramente la cuenca: 'cuenca_duero'.""",75.156
8,boe,"Anuncio de la Confederación Hidrográfica del Duero, O.A., de información pública del expediente de modificación de características de concesión de un aprovechamiento de aguas subterráneas, de referencia MC-0105/2024 (INTEGRA-AYE) ZA, con destino a riego en el término municipal de Peleas de Abajo (Zamora).",AGU_GEN,True,AGU_RIE,"uso_agricola,cuenca_duero",,UnexpectedModelBehavior,73.867
9,boe,Anuncio de la Confederación Hidrográfica del Tajo O.A. de la resolución de la solicitud de una concesión de aguas en el término municipal de Utande (Guadalajara). Referencia C-0178/2023.,AGU_GEN,True,AGU_GEN,cuenca_tajo,,UnexpectedModelBehavior,79.144
10,boe,Anuncio de la Confederación Hidrográfica del Tajo O.A. de la información pública de la solicitud de una concesión de aguas en el término municipal de Brozas (Cáceres). Referencia C-0249/2024.,AGU_GEN,True,AGU_GEN,cuenca_tajo,,True,anuncio,"[""AGU_GEN""]","[""cuenca_tajo""]",0.75,"El texto menciona ""concesión de aguas"" sin especificar un uso particular, lo que activa AGU_GEN como categoría residual cuando no se indica riego o abastecimiento explícito. La referencia a Brozas (Cáceres) sitúa la concesión en la cuenca del Tajo (cuenca_tajo). No hay señal de vertido ni uso específico.",73.001
11,doe,"Resolución de 11 de enero de 2025, de la Dirección General de Sostenibilidad, por la que se formula informe de impacto ambiental del proyecto de construcción de un sondeo para el aprovechamiento de aguas subterráneas, en el término municipal de El Gordo (Cáceres), promovido por el Ayuntamiento de El Gordo. Expte.: IA24/0676.",AGU_GEN,True,AGU_SND,"uso_urbano,cuenca_tajo",,UnexpectedModelBehavior,72.352
12,boe,"Anuncio de la Confederación Hidrográfica del Miño-Sil, O.A. por el que se publica el inicio del trámite de competencia de proyectos para la creación de un área recreativa con zona de baño en ambas márgenes del río Cabe, en Ribasaltas, T.M. de Monforte de Lemos (Lugo).",AGU_GEN,True,AGU_GEN,cuenca_mino_sil,,UnexpectedModelBehavior,75.927
13,boe,"Anuncio de la Confederación Hidrográfica del Júcar, O.A. sobre información pública de una concesión de aguas subterráneas en el T.M. de Vinaròs (Castellón).",AGU_GEN,True,AGU_GEN,cuenca_jucar,,UnexpectedModelBehavior,113.089
14,boe,"Anuncio de la Confederación Hidrográfica del Duero, O.A., de información pública del expediente de modificación de características de concesión de un aprovechamiento de aguas, de referencia MC-0123/2024 (INTEGRA-AYE) VA, con destino a riego y abastecimiento en el término municipal de Siete Iglesias de Trabancos (Valladolid).",AGU_GEN,True,"AGU_RIE,AGU_ABS","uso_mixto,cuenca_duero",,UnexpectedModelBehavior,63.242
15,boe,"Anuncio de la Confederación Hidrográfica del Miño-Sil, O.A. por el que se hace público el otorgamiento de la concesión para aprovechamiento de 1,665 l/s de agua procedente de tres (3) manantiales situados en la parroquia de Porqueirós (Santo André), término municipal de Muiños (Ourense), con destino a abastecimiento del núcleo de Porqueirós y extinción de incendios. Expediente: A/32/32701.",AGU_GEN,True,AGU_ABS,"uso_urbano,cuenca_mino_sil",,UnexpectedModelBehavior,52.001
